date,actual value,predict value,accuracy %
20230101,167.09,274.84,35.52
20230201,207.79,192.83,92.80
20230301,248.01,178.36,71.92
20230401,143.67,191.16,66.94
20230501,213.13,166.52,78.13
20230601,167.04,152.85,91.51
20230701,151.58,143.82,94.88
20230801,117.87,128.94,90.61
20230901,98.68,108.15,90.40
20231001,185.74,104.58,56.31
20231101,213.33,146.45,68.65
20231201,160.18,185.76,84.03
,,average accuracy,76.81
,,min. accuracy,35.52
