date,actual value,predict value,accuracy %
20230101,167.09,258.23,45.46
20230201,207.79,242.84,83.14
20230301,248.01,231.71,93.43
20230401,143.67,253.85,23.31
20230501,213.13,219.30,97.10
20230601,167.04,220.15,68.20
20230701,151.58,204.65,64.99
20230801,117.87,157.99,65.96
20230901,98.68,153.19,44.77
20231001,185.74,146.37,78.81
20231101,213.33,209.34,98.13
20231201,160.18,253.76,41.58
,,average accuracy,67.07
,,min. accuracy,23.31
