date,actual value,predict value,accuracy %
20230101,9065.43,17398.11,8.08
20230201,3749.45,18164.28,-284.45
20230301,13906.52,11179.20,80.39
20230401,15930.83,21795.67,63.19
20230501,17773.25,22898.55,71.16
20230601,13246.68,28099.91,-12.13
20230701,13191.52,29478.02,-23.46
20230801,12941.86,29418.81,-27.32
20230901,14110.05,29955.30,-12.30
20231001,25557.27,29503.32,84.56
20231101,24003.00,25180.18,95.10
20231201,37333.44,20105.82,53.85
,,average accuracy,8.06
,,min. accuracy,-284.45
