date,actual value,predict value,accuracy %
20230101,9065.43,16377.30,19.34
20230201,3749.45,16172.02,-231.32
20230301,13906.52,13247.96,95.26
20230401,15930.83,17493.05,90.19
20230501,17773.25,17553.90,98.77
20230601,13246.68,17014.10,71.56
20230701,13191.52,18702.23,58.23
20230801,12941.86,17813.51,62.36
20230901,14110.05,22426.01,41.06
20231001,25557.27,25163.03,98.46
20231101,24003.00,20356.03,84.81
20231201,37333.44,14569.77,39.03
,,average accuracy,43.98
,,min. accuracy,-231.32
