date,actual value,predict value,accuracy %
20230101,167.09,338.14,-2.37
20230201,207.79,258.06,75.81
20230301,248.01,258.06,95.95
20230401,143.67,258.06,20.37
20230501,213.13,258.06,78.92
20230601,167.04,213.84,71.98
20230701,151.58,213.84,58.93
20230801,117.87,146.70,75.53
20230901,98.68,173.33,24.35
20231001,185.74,211.98,85.87
20231101,213.33,213.84,99.76
20231201,160.18,338.14,-11.11
,,average accuracy,56.17
,,min. accuracy,-11.11
