date,actual value,predict value,accuracy %
20230101,167.09,246.25,52.63
20230201,207.79,216.75,95.69
20230301,248.01,220.34,88.84
20230401,143.67,230.43,39.61
20230501,213.13,212.93,99.91
20230601,167.04,215.08,71.24
20230701,151.58,220.28,54.68
20230801,117.87,169.46,56.23
20230901,98.68,172.33,25.37
20231001,185.74,183.24,98.65
20231101,213.33,204.84,96.02
20231201,160.18,231.90,55.23
,,average accuracy,69.51
,,min. accuracy,25.37
