date,actual value,predict value,accuracy %
20230101,9065.43,16897.62,13.60
20230201,3749.45,19829.84,-328.87
20230301,13906.52,13058.35,93.90
20230401,15930.83,15534.96,97.52
20230501,17773.25,17499.29,98.46
20230601,13246.68,13559.14,97.64
20230701,13191.52,9196.27,69.71
20230801,12941.86,9790.72,75.65
20230901,14110.05,18285.50,70.41
20231001,25557.27,15398.65,60.25
20231101,24003.00,17337.13,72.23
20231201,37333.44,8728.46,23.38
,,average accuracy,36.99
,,min. accuracy,-328.87
