date,actual value,predict value,accuracy %
20230101,167.09,267.02,40.20
20230201,207.79,214.19,96.92
20230301,248.01,208.14,83.93
20230401,143.67,233.72,37.32
20230501,213.13,192.15,90.16
20230601,167.04,204.03,77.85
20230701,151.58,184.01,78.61
20230801,117.87,174.66,51.82
20230901,98.68,151.79,46.19
20231001,185.74,150.07,80.80
20231101,213.33,185.75,87.07
20231201,160.18,217.85,63.99
,,average accuracy,69.57
,,min. accuracy,37.32
