date,actual value,predict value,accuracy %
20230101,9065.43,21362.23,-35.64
20230201,3749.45,21362.23,-369.74
20230301,13906.52,21362.23,46.39
20230401,15930.83,21426.37,65.50
20230501,17773.25,21443.59,79.35
20230601,13246.68,21409.59,38.38
20230701,13191.52,21347.55,38.17
20230801,12941.86,21362.23,34.94
20230901,14110.05,21393.28,48.38
20231001,25557.27,21409.59,83.77
20231101,24003.00,21443.59,89.34
20231201,37333.44,21409.59,57.35
,,average accuracy,14.68
,,min. accuracy,-369.74
