date,actual value,predict value,accuracy %
20230101,167.09,237.76,57.71
20230201,207.79,231.88,88.41
20230301,248.01,225.31,90.85
20230401,143.67,220.16,46.75
20230501,213.13,210.92,98.96
20230601,167.04,215.29,71.11
20230701,151.58,213.24,59.33
20230801,117.87,159.32,64.83
20230901,98.68,163.30,34.52
20231001,185.74,191.30,97.01
20231101,213.33,197.70,92.67
20231201,160.18,206.84,70.87
,,average accuracy,72.75
,,min. accuracy,34.52
