date,actual value,predict value,accuracy %
20221001,12985.90,11942.97,91.97
20221101,8089.77,10408.23,71.34
20221201,12119.53,11802.04,97.38
20230101,6921.52,13730.03,1.63
20230201,4339.55,15744.94,-162.82
20230301,13593.78,14286.41,94.90
20230401,16535.17,17909.95,91.69
20230501,16168.10,13467.40,83.30
20230601,13682.27,14868.06,91.33
20230701,12900.00,16493.39,72.14
20230801,12136.82,10529.66,86.76
20230901,12714.90,11020.07,86.67
,,average accuracy,58.86
,,min. accuracy,-162.82
