date,actual value,predict value,accuracy %
20230101,9065.43,16769.40,15.02
20230201,3749.45,19711.37,-325.71
20230301,13906.52,12822.15,92.20
20230401,15930.83,15231.95,95.61
20230501,17773.25,17225.61,96.92
20230601,13246.68,13252.58,99.96
20230701,13191.52,8821.26,66.87
20230801,12941.86,9426.49,72.84
20230901,14110.05,17910.53,73.07
20231001,25557.27,14961.48,58.54
20231101,24003.00,17005.49,70.85
20231201,37333.44,8384.41,22.46
,,average accuracy,36.55
,,min. accuracy,-325.71
