date,actual value,predict value,accuracy %
20230101,167.09,125.37,75.03
20230201,207.79,130.92,63.01
20230301,248.01,132.55,53.45
20230401,143.67,127.77,88.94
20230501,213.13,129.93,60.96
20230601,167.04,127.40,76.27
20230701,151.58,128.06,84.48
20230801,117.87,125.66,93.39
20230901,98.68,123.79,74.56
20231001,185.74,123.19,66.32
20231101,213.33,129.75,60.82
20231201,160.18,129.77,81.02
,,average accuracy,73.19
,,min. accuracy,53.45
