date,actual value,predict value,accuracy %
20230101,167.09,192.40,84.85
20230201,207.79,152.31,73.30
20230301,248.01,152.31,61.41
20230401,143.67,192.40,66.08
20230501,213.13,152.31,71.47
20230601,167.04,152.31,91.18
20230701,151.58,152.31,99.52
20230801,117.87,152.31,70.78
20230901,98.68,110.78,87.74
20231001,185.74,110.78,59.64
20231101,213.33,152.31,71.40
20231201,160.18,152.31,95.09
,,average accuracy,77.7
,,min. accuracy,59.64
